queryName,run,average
Query1,1,20913
Query1,2,14490
Query1,3,12384
Query1,4,11731
Query1,5,11334
Query1,6,11399
Query1,7,11320
Query1,8,11396
Query1,9,11303
Query1,10,11274
Query2,1,38629
Query2,2,39113
Query2,3,39553
Query2,4,40898
Query2,5,40029
Query2,6,65353
Query2,7,75882
Query2,8,51343
Query2,9,57649
Query2,10,43700
Query3,1,19402
Query3,2,17955
Query3,3,18702
Query3,4,19186
Query3,5,14684
Query3,6,14398
Query3,7,14434
Query3,8,14468
Query3,9,14705
Query3,10,14329
QuerySQL1,1,8562
QuerySQL1,2,7816
QuerySQL1,3,7852
QuerySQL1,4,7848
QuerySQL1,5,7706
QuerySQL1,6,7710
QuerySQL1,7,7952
QuerySQL1,8,7748
QuerySQL1,9,7846
QuerySQL1,10,7798
QuerySQL2,1,20009
QuerySQL2,2,18944
QuerySQL2,3,19333
QuerySQL2,4,18999
QuerySQL2,5,19352
QuerySQL2,6,19919
QuerySQL2,7,18600
QuerySQL2,8,18494
QuerySQL2,9,18011
QuerySQL2,10,18109
QuerySQL3,1,9126
QuerySQL3,2,8777
QuerySQL3,3,8622
QuerySQL3,4,8732
QuerySQL3,5,8762
QuerySQL3,6,8581
QuerySQL3,7,8550
QuerySQL3,8,8630
QuerySQL3,9,8704
QuerySQL3,10,8512
