queryName,run,average
Query1,1,75193
Query1,2,58278
Query1,3,55974
Query1,4,55882
Query1,5,56836
Query1,6,56121
Query1,7,60980
Query1,8,55751
Query1,9,55780
Query1,10,55767
Query2,1,92572
Query2,2,90104
Query2,3,91682
Query2,4,91859
Query2,5,90873
Query2,6,91395
Query2,7,91347
Query2,8,90084
Query2,9,92023
Query2,10,92667
Query3,1,63964
Query3,2,61409
Query3,3,62442
Query3,4,61539
Query3,5,62312
Query3,6,63050
Query3,7,60496
Query3,8,62065
Query3,9,59373
Query3,10,64123
QuerySQL1,1,54448
QuerySQL1,2,51747
QuerySQL1,3,52838
QuerySQL1,4,53736
QuerySQL1,5,54743
QuerySQL1,6,52761
QuerySQL1,7,51712
QuerySQL1,8,51670
QuerySQL1,9,52773
QuerySQL1,10,52933
QuerySQL2,1,69615
QuerySQL2,2,65347
QuerySQL2,3,65099
QuerySQL2,4,62321
QuerySQL2,5,64111
QuerySQL2,6,64238
QuerySQL2,7,64191
QuerySQL2,8,64047
QuerySQL2,9,66188
QuerySQL2,10,67024
QuerySQL3,1,58057
QuerySQL3,2,55817
QuerySQL3,3,53638
QuerySQL3,4,55628
QuerySQL3,5,56647
QuerySQL3,6,56861
QuerySQL3,7,55622
QuerySQL3,8,58423
QuerySQL3,9,56543
QuerySQL3,10,56769
