queryName,run,average
Query1,1,28975
Query1,2,21958
Query1,3,23210
Query1,4,17665
Query1,5,17401
Query1,6,16740
Query1,7,17356
Query1,8,16990
Query1,9,16662
Query1,10,18936
Query2,1,46972
Query2,2,47007
Query2,3,61354
Query2,4,77855
Query2,5,61246
Query2,6,61956
Query2,7,52227
Query2,8,52307
Query2,9,44465
Query2,10,45481
Query3,1,26124
Query3,2,20158
Query3,3,19579
Query3,4,21342
Query3,5,19670
Query3,6,21681
Query3,7,23831
Query3,8,20542
Query3,9,19985
Query3,10,20215
QuerySQL1,1,22223
QuerySQL1,2,15079
QuerySQL1,3,15247
QuerySQL1,4,15965
QuerySQL1,5,14210
QuerySQL1,6,18351
QuerySQL1,7,14367
QuerySQL1,8,14283
QuerySQL1,9,14029
QuerySQL1,10,14632
QuerySQL2,1,23049
QuerySQL2,2,21289
QuerySQL2,3,21545
QuerySQL2,4,23687
QuerySQL2,5,27092
QuerySQL2,6,22064
QuerySQL2,7,22921
QuerySQL2,8,20262
QuerySQL2,9,20397
QuerySQL2,10,20463
QuerySQL3,1,17851
QuerySQL3,2,16880
QuerySQL3,3,28483
QuerySQL3,4,14081
QuerySQL3,5,15475
QuerySQL3,6,17450
QuerySQL3,7,19087
QuerySQL3,8,24756
QuerySQL3,9,17408
QuerySQL3,10,22008
