queryName,run,average
Query1,1,26508
Query1,2,5477
Query1,3,6189
Query1,4,5656
Query1,5,6018
Query1,6,5804
Query1,7,6254
Query1,8,5690
Query1,9,5712
Query1,10,5467
Query1,11,5834
Query1,12,6157
Query1,13,5741
Query1,14,5496
Query1,15,5520
Query1,16,5747
Query1,17,5766
Query1,18,5891
Query1,19,5751
Query1,20,5512
Query1,21,5502
Query1,22,5465
Query1,23,5531
Query1,24,6180
Query1,25,5528
Query1,26,5632
Query1,27,5521
Query1,28,5869
Query1,29,5488
Query1,30,6409
Query1,31,5798
Query1,32,5770
Query1,33,5460
Query1,34,5503
Query1,35,5496
Query1,36,5488
Query1,37,5617
Query1,38,5576
Query1,39,5745
Query1,40,5896
Query2,1,43541
Query2,2,39546
Query2,3,40964
Query2,4,39747
Query2,5,38556
Query2,6,39556
Query2,7,38203
Query2,8,39321
Query2,9,37885
Query2,10,38009
Query2,11,39254
Query2,12,38132
Query2,13,37626
Query2,14,37741
Query2,15,39213
Query2,16,37641
Query2,17,39353
Query2,18,39342
Query2,19,39453
Query2,20,39105
Query2,21,39309
Query2,22,39181
Query2,23,37955
Query2,24,38067
Query2,25,39401
Query2,26,38230
Query2,27,37910
Query2,28,38425
Query2,29,38212
Query2,30,39251
Query2,31,38194
Query2,32,37970
Query2,33,39374
Query2,34,37934
Query2,35,39115
Query2,36,39417
Query2,37,39048
Query2,38,38465
Query2,39,38516
Query2,40,38851
Query3,1,9182
Query3,2,8881
Query3,3,9331
Query3,4,8759
Query3,5,8157
Query3,6,8267
Query3,7,8185
Query3,8,8122
Query3,9,8039
Query3,10,8087
Query3,11,8171
Query3,12,8110
Query3,13,8709
Query3,14,8655
Query3,15,8795
Query3,16,7991
Query3,17,8513
Query3,18,8146
Query3,19,8098
Query3,20,8146
Query3,21,8165
Query3,22,8739
Query3,23,8168
Query3,24,8752
Query3,25,8094
Query3,26,8709
Query3,27,8107
Query3,28,8764
Query3,29,8010
Query3,30,8693
Query3,31,8789
Query3,32,8874
Query3,33,8075
Query3,34,8052
Query3,35,8591
Query3,36,8626
Query3,37,8003
Query3,38,7960
Query3,39,8521
Query3,40,8870
QuerySQL1,1,2851
QuerySQL1,2,1153
QuerySQL1,3,1160
QuerySQL1,4,1430
QuerySQL1,5,1111
QuerySQL1,6,1141
QuerySQL1,7,1062
QuerySQL1,8,1139
QuerySQL1,9,1190
QuerySQL1,10,1124
QuerySQL1,11,1141
QuerySQL1,12,1156
QuerySQL1,13,1116
QuerySQL1,14,1140
QuerySQL1,15,1103
QuerySQL1,16,1114
QuerySQL1,17,1119
QuerySQL1,18,1285
QuerySQL1,19,1163
QuerySQL1,20,1167
QuerySQL1,21,1253
QuerySQL1,22,1135
QuerySQL1,23,1151
QuerySQL1,24,1115
QuerySQL1,25,1101
QuerySQL1,26,1130
QuerySQL1,27,1144
QuerySQL1,28,1121
QuerySQL1,29,1154
QuerySQL1,30,1091
QuerySQL1,31,1124
QuerySQL1,32,1116
QuerySQL1,33,1122
QuerySQL1,34,1104
QuerySQL1,35,1164
QuerySQL1,36,1106
QuerySQL1,37,1161
QuerySQL1,38,1122
QuerySQL1,39,1153
QuerySQL1,40,1106
QuerySQL2,1,11428
QuerySQL2,2,12252
QuerySQL2,3,9002
QuerySQL2,4,7656
QuerySQL2,5,7097
QuerySQL2,6,6917
QuerySQL2,7,7242
QuerySQL2,8,6817
QuerySQL2,9,6854
QuerySQL2,10,6872
QuerySQL2,11,7462
QuerySQL2,12,11905
QuerySQL2,13,8946
QuerySQL2,14,6927
QuerySQL2,15,6961
QuerySQL2,16,7225
QuerySQL2,17,6990
QuerySQL2,18,7057
QuerySQL2,19,7244
QuerySQL2,20,15073
QuerySQL2,21,9737
QuerySQL2,22,6928
QuerySQL2,23,7089
QuerySQL2,24,6757
QuerySQL2,25,6519
QuerySQL2,26,6405
QuerySQL2,27,6387
QuerySQL2,28,6678
QuerySQL2,29,6416
QuerySQL2,30,6606
QuerySQL2,31,6939
QuerySQL2,32,6567
QuerySQL2,33,6882
QuerySQL2,34,7049
QuerySQL2,35,6900
QuerySQL2,36,6815
QuerySQL2,37,7110
QuerySQL2,38,6749
QuerySQL2,39,7150
QuerySQL2,40,7201
QuerySQL3,1,8158
QuerySQL3,2,2662
QuerySQL3,3,2591
QuerySQL3,4,2503
QuerySQL3,5,2319
QuerySQL3,6,2519
QuerySQL3,7,2382
QuerySQL3,8,2350
QuerySQL3,9,2502
QuerySQL3,10,2485
QuerySQL3,11,2419
QuerySQL3,12,2600
QuerySQL3,13,2375
QuerySQL3,14,2596
QuerySQL3,15,2573
QuerySQL3,16,2582
QuerySQL3,17,2876
QuerySQL3,18,2484
QuerySQL3,19,2598
QuerySQL3,20,2220
QuerySQL3,21,2032
QuerySQL3,22,1967
QuerySQL3,23,2068
QuerySQL3,24,2363
QuerySQL3,25,1970
QuerySQL3,26,2292
QuerySQL3,27,2000
QuerySQL3,28,2690
QuerySQL3,29,2267
QuerySQL3,30,2558
QuerySQL3,31,2244
QuerySQL3,32,2309
QuerySQL3,33,2326
QuerySQL3,34,2208
QuerySQL3,35,2636
QuerySQL3,36,1947
QuerySQL3,37,1928
QuerySQL3,38,2457
QuerySQL3,39,2403
QuerySQL3,40,2016
