queryName,run,average
Query1,1,29551
Query1,2,6200
Query1,3,6606
Query1,4,7039
Query1,5,5839
Query1,6,5718
Query1,7,5458
Query1,8,5666
Query1,9,5565
Query1,10,5520
Query1,11,5545
Query1,12,5603
Query1,13,5547
Query1,14,5481
Query1,15,5426
Query1,16,5415
Query1,17,5438
Query1,18,5441
Query1,19,5531
Query1,20,5461
Query1,21,5394
Query1,22,5298
Query1,23,6315
Query1,24,5449
Query1,25,5370
Query1,26,5407
Query1,27,5517
Query1,28,5333
Query1,29,5434
Query1,30,5407
Query1,31,5412
Query1,32,5409
Query1,33,5383
Query1,34,5487
Query1,35,5363
Query1,36,5398
Query1,37,5484
Query1,38,5361
Query1,39,5456
Query1,40,5474
Query2,1,39431
Query2,2,38138
Query2,3,32802
Query2,4,38237
Query2,5,38125
Query2,6,32796
Query2,7,32738
Query2,8,32557
Query2,9,32703
Query2,10,32784
Query2,11,32657
Query2,12,32556
Query2,13,32429
Query2,14,38296
Query2,15,33530
Query2,16,32683
Query2,17,32833
Query2,18,38103
Query2,19,32795
Query2,20,32656
Query2,21,38371
Query2,22,38394
Query2,23,32523
Query2,24,38726
Query2,25,38221
Query2,26,38244
Query2,27,38285
Query2,28,32206
Query2,29,38366
Query2,30,32447
Query2,31,38577
Query2,32,32527
Query2,33,38447
Query2,34,38533
Query2,35,32791
Query2,36,38614
Query2,37,32305
Query2,38,32564
Query2,39,32654
Query2,40,32623
Query3,1,8767
Query3,2,8158
Query3,3,8655
Query3,4,8207
Query3,5,8423
Query3,6,8716
Query3,7,8664
Query3,8,8642
Query3,9,8753
Query3,10,8653
Query3,11,8588
Query3,12,8646
Query3,13,8652
Query3,14,8446
Query3,15,8690
Query3,16,8582
Query3,17,8681
Query3,18,8553
Query3,19,8493
Query3,20,8634
Query3,21,8451
Query3,22,8431
Query3,23,8563
Query3,24,8482
Query3,25,8414
Query3,26,8435
Query3,27,8474
Query3,28,8387
Query3,29,8352
Query3,30,8405
Query3,31,8424
Query3,32,8627
Query3,33,8623
Query3,34,8612
Query3,35,8712
Query3,36,8574
Query3,37,8558
Query3,38,8594
Query3,39,8578
Query3,40,8446
QuerySQL1,1,3182
QuerySQL1,2,1256
QuerySQL1,3,1241
QuerySQL1,4,1171
QuerySQL1,5,1344
QuerySQL1,6,1200
QuerySQL1,7,1161
QuerySQL1,8,1183
QuerySQL1,9,1170
QuerySQL1,10,1261
QuerySQL1,11,1182
QuerySQL1,12,1332
QuerySQL1,13,1231
QuerySQL1,14,1201
QuerySQL1,15,1204
QuerySQL1,16,1155
QuerySQL1,17,1251
QuerySQL1,18,1143
QuerySQL1,19,1186
QuerySQL1,20,1180
QuerySQL1,21,1161
QuerySQL1,22,1132
QuerySQL1,23,1079
QuerySQL1,24,1109
QuerySQL1,25,1255
QuerySQL1,26,1196
QuerySQL1,27,1107
QuerySQL1,28,1099
QuerySQL1,29,1130
QuerySQL1,30,1082
QuerySQL1,31,1142
QuerySQL1,32,1120
QuerySQL1,33,1138
QuerySQL1,34,1111
QuerySQL1,35,1113
QuerySQL1,36,1097
QuerySQL1,37,1099
QuerySQL1,38,1092
QuerySQL1,39,1083
QuerySQL1,40,1106
QuerySQL2,1,7699
QuerySQL2,2,5265
QuerySQL2,3,4852
QuerySQL2,4,5855
QuerySQL2,5,4894
QuerySQL2,6,4769
QuerySQL2,7,5796
QuerySQL2,8,4770
QuerySQL2,9,5158
QuerySQL2,10,4939
QuerySQL2,11,4634
QuerySQL2,12,4539
QuerySQL2,13,4743
QuerySQL2,14,4834
QuerySQL2,15,4478
QuerySQL2,16,5066
QuerySQL2,17,4668
QuerySQL2,18,4776
QuerySQL2,19,4658
QuerySQL2,20,4540
QuerySQL2,21,4815
QuerySQL2,22,5390
QuerySQL2,23,4416
QuerySQL2,24,4831
QuerySQL2,25,4883
QuerySQL2,26,4807
QuerySQL2,27,4737
QuerySQL2,28,4701
QuerySQL2,29,4536
QuerySQL2,30,4531
QuerySQL2,31,4703
QuerySQL2,32,4597
QuerySQL2,33,4690
QuerySQL2,34,4583
QuerySQL2,35,4642
QuerySQL2,36,4567
QuerySQL2,37,4958
QuerySQL2,38,5090
QuerySQL2,39,4476
QuerySQL2,40,4837
QuerySQL3,1,3656
QuerySQL3,2,2437
QuerySQL3,3,2322
QuerySQL3,4,2261
QuerySQL3,5,2029
QuerySQL3,6,2076
QuerySQL3,7,1982
QuerySQL3,8,2058
QuerySQL3,9,1962
QuerySQL3,10,1963
QuerySQL3,11,1952
QuerySQL3,12,2018
QuerySQL3,13,2062
QuerySQL3,14,1993
QuerySQL3,15,2018
QuerySQL3,16,1870
QuerySQL3,17,2009
QuerySQL3,18,1993
QuerySQL3,19,2222
QuerySQL3,20,1949
QuerySQL3,21,1952
QuerySQL3,22,1996
QuerySQL3,23,1969
QuerySQL3,24,1989
QuerySQL3,25,2065
QuerySQL3,26,2053
QuerySQL3,27,1931
QuerySQL3,28,1949
QuerySQL3,29,1990
QuerySQL3,30,1925
QuerySQL3,31,1958
QuerySQL3,32,1980
QuerySQL3,33,1952
QuerySQL3,34,2095
QuerySQL3,35,1963
QuerySQL3,36,1952
QuerySQL3,37,1934
QuerySQL3,38,1952
QuerySQL3,39,1958
QuerySQL3,40,1918
