queryName,run,average
Query1,1,23577
Query1,2,16530
Query1,3,27355
Query1,4,22639
Query1,5,17270
Query1,6,16753
Query1,7,15369
Query1,8,15093
Query1,9,14571
Query1,10,15345
Query2,1,44790
Query2,2,43362
Query2,3,43233
Query2,4,44147
Query2,5,43768
Query2,6,52038
Query2,7,62295
Query2,8,47464
Query2,9,49939
Query2,10,46329
Query3,1,20585
Query3,2,18530
Query3,3,18658
Query3,4,18393
Query3,5,17953
Query3,6,18417
Query3,7,17150
Query3,8,19289
Query3,9,18198
Query3,10,17891
QuerySQL1,1,15274
QuerySQL1,2,10759
QuerySQL1,3,11131
QuerySQL1,4,10956
QuerySQL1,5,11722
QuerySQL1,6,11719
QuerySQL1,7,11682
QuerySQL1,8,12284
QuerySQL1,9,10910
QuerySQL1,10,13264
QuerySQL2,1,19948
QuerySQL2,2,19015
QuerySQL2,3,20675
QuerySQL2,4,19640
QuerySQL2,5,19338
QuerySQL2,6,18931
QuerySQL2,7,19127
QuerySQL2,8,19229
QuerySQL2,9,18772
QuerySQL2,10,19055
QuerySQL3,1,13331
QuerySQL3,2,15082
QuerySQL3,3,12432
QuerySQL3,4,12458
QuerySQL3,5,12470
QuerySQL3,6,17120
QuerySQL3,7,13086
QuerySQL3,8,13559
QuerySQL3,9,12093
QuerySQL3,10,13698
